"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10u";;;
2;"C3, C4, C5, C6, C9, C10, C13, C14, C15, C16, C17, C18, C19";"C_0402_1005Metric";13;"100n";;;
3;"C7, C8";"C_0402_1005Metric";2;"20p";;;
4;"C11, C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2.2u";;;
5;"D1";"LED_0805_2012Metric";1;"Green";;;
6;"D2, D3";"D_SMA";2;"D_Schottky";;;
7;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"DNP";;;
8;"J2";"USB_C_Receptacle_XKB_U262-16XN-4BVC11";1;"USB_C_Receptacle_USB2.0";;;
9;"J3";"PinSocket_2x04_P2.54mm_Vertical";1;"DNP";;;
10;"Q1";"SOT-23";1;"BC817-40";;;
11;"R1, R4, R5, R6, R7";"R_0402_1005Metric";5;"510R";;;
12;"R2, R3";"R_0402_1005Metric";2;"10k";;;
13;"R8, R9, R10, R11, R12, R13, R14, R15";"R_0402_1005Metric";8;"100R";;;
14;"R16, R17";"R_0402_1005Metric";2;"5.1k";;;
15;"SW1, SW2, SW3";"SW_PUSH_6mm_H8mm";3;"Tactile Switch SPST 250gf 5mm PC Pin 6mm x 6mm Through Hole";;;
16;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
17;"U3";"LQFP-100_14x14mm_P0.5mm";1;"STM32H7B0VBTx";;;
18;"XS1";"Conn_uSDcard";1;"uSD_push_push";;;
19;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"25 MHz";;;
